start	end	text
1178020	1184220	सारे 3 लाख नौकरी प्रक्रियदीन हमझों को ने कराने का काम किया
1184220	1186000	किया कि नहीं किया
1189500	1192420	उससे मैं कहते थे कहां से देगा
1192420	1198440	और संभाव है अपन बाभू के पास लाके पैसा बेतन बातेगा
1198440	1202240	किये कि नहीं किये, नौकरी मिला कि नहीं मिला
1202240	1205080	सिक्षक का बहाली हुआ की नहीं हुआ
1205080	1208160	बहाली निकलने लगा की निकलने लगा
1208160	1210980	VPSC से बहाली होने लगा
1210980	1213000	पहले VPSC से नहीं होता था
1213640	1214960	इसलिए कराया गया
1214960	1216920	कि हमारे जो बाल बच्चे
1216920	1218940	उनका भाविष बहतर पने
1218940	1220180	अच्छा सिक्षक मिले
1220180	1222040	अच्छा गुरू मिले
1222040	1227000	ताकि बच्चा सब पर लिकर के बड़ा बड़ा आदमी बने बिहार कर नाम रोशन करे
1227000	1231000	लेकिन का इतना अपराद बढ़ गया
1231000	1234700	ब्रश्टा चार पर आईए थाना चले ज़े ब्लॉक चले ज़े
1234700	1237660	बिना घूँज दिये वे कोई काम हो रहा है
1237660	1249820	कितना घूँज खोड़ी हुई ठाना ब्लॉक चले ज़े घूँज दो तो काम होगा
1249820	1257800	दाखिल खारीज गेर ज़े ज़े आपका क्या बोलते हैं उसको टोपोलन
1257800	1273160	क्यार जरुआ जो जमीन है रसीत कट्रा है नहीं कट्रा सर्वे लोग कराया लैंड सर्वे कराया दाकिल खारीच कराओ
1273160	1280360	तो उसमें घूँज खोड़ी कहीं चले ज़े तो घूँज खोड़ी अफसर साही बढ़ा है कि नहीं बढ़ा है
1280360	1287880	कितना लोगों को घूँज दे नबता लेकिद बता गरीब का बच्चा का हत्या हो जाता है फायार जल्दी नहीं लेता है लोग
1287880	1293980	जाच नहीं होता है गरीब का बच्चा खोड़ खाये तो जाच नहीं होता
1293980	1296600	खाली चार लाग कई मित्वी हो जाए
1296600	1299300	तो कोई आशू पोछने नहीं आता
1299300	1302600	जाच नहीं होता धंसे
1302600	1305700	लगतार आप राद जो है बर्रा
1305700	1308240	लेकिन सुनवाई और कारवाई नहीं हो रही है
1308240	1311000	गरीब की सुनवाई नहीं होती
1311000	1315260	गरीब बिचला लाचार अंतिम पैदान पे खड़ा
1315260	1317500	हम लोगों को मौका दीजे
1317500	1321640	गरीब का राज लाएंगे गरीब का जंता का सरकार बनाएंगे
1321640	1325740	जहां आप लोगों की चिंता करने की जरूत नहीं
1325740	1327820	जब तेजस्वी सीम बनेगा
1327820	1330960	तो बिहार का चौदा करोर लोग सीम बनेगे
1330960	1335240	यानि चिंता मुक्त बनाएंगे आप सब लोगों को
1335240	1338820	सीम यानि चिंता मुक्त
1338820	1342100	सबको चिंता मुक्त करने का काम करेगा
1342100	1347440	हर जाती, हर धर्म, हर वर के लोगों को तेजस्वी साथ लेकर के चलेगा
1347440	1349620	माताई मैनो
1349620	1354500	जो तेजश्वी कह रहा है वही ये सरकार जो है दकल कर रही है
1354500	1357120	हम बोले पेंशन बढ़ाएंगे
1357120	1360600	तो बीस साल से इस सरकार को याद नहीं आ रहा था
1360600	1364600	कि चार सो से भी जादा एक रुप्या बढ़ा दे चार सो से
1364600	1368220	जब तेजश्वी बोला पंदरा सो हम करेगे पेंशन
1368220	1374720	तो ये सरकार केंटी घयारा सो करेंगे हमने बोला दो सो यूनिट फ्री में बिजली देंगे
1374720	1382220	तो ये सरकार केंटी है सावां सो यूनिट फ्री में बिजली देंगे नहख कर लो तो डंसे कर लेते
1382220	1386700	हम बोले 15,00 कर रहे हो
1386700	1390240	हम बोले 200 उनित फ्री तो 700 उनित कर रहे हो
1390240	1392200	कंचे हम 300 उनित फ्री कर देते
1392200	1394340	2000 उनित प्रिक पेंशन कर देते
1394340	1397940	लेकिन ये लोग करने वाले नहीं है
1397940	1402380	माय बहन मान योजना लाएंगे
1402560	1405620	माय बहन मान योजना
1405620	1409160	उधार नहीं होगा 10,000 वाला
1409160	1412440	इस चुणावी प्रालोभन नहीं होगा, रिश्वत नहीं होगा
1412440	1415920	चुणाव के बाद ही लोग ले लेगा उधार
1415920	1419500	अभी चुनाव हुआ आया तो चुणाव को देकर के कर रहा है
1419500	1423280	काहे है? क्योंकि तिजस्वी ने माई बहत की
1423280	1425300	मान योजरा की बात की
1425300	1430860	तेजस्वी आएगा तो उधार नहीं देगा मदद करेगा इस महेंगाई से लरदे के लिए
1430860	1434800	आज हमारी माताई बेने नया सारी खरीदने में सोचती है
1434800	1439500	घर में परिवार में कोई बिमार पर जाए इलाज नहीं करा पाती है
1439500	1445840	इतना इन लोगों को कश जहर ना परता है
1445880	1449800	इसलिए हमने कहां कि महीना में डाई हजार रुपया
1449800	1452400	साल में तीस हजार रुपया
1452400	1456800	पांच साल में तेज़ लाक रुपया हम लोग माताई बेनों को गडीब माताई
1456800	1471440	बेनों को देंगे अई सरकार तो चुन-चुन करके दे रहा है फिर वह सूलेगा दस हजार बाच करके रहेगा तेजस्वी पहले ही चेता रहा है बीच साल से इन लोगों को याद नहीं आ रहा था दस हजार देना
1471440	1493960	दस हजार कितना दिन चले इन महांगाई में आप दस हजार क्यों दे रहा है क्योंकि नया वेफसाइक कर सके दस हजार में वेफसाइक होवे बला है दस हजार कितना दिन चलता है कितना दिन चलेगा लेके इतेजस्वी जब हर परिवार को सरकारी नौकरी देगा
1493960	1498960	तो इस परिवार का कितना समस्या दूर हो जाएगा
1498960	1501580	जिंदिगी भर का समस्या दूर हो जाएगा
1501580	1503960	हम आगे का सोच रहे हैं
1503960	1506580	इन लोगों खाली ठागने का काम कर रहा है
1506580	1511500	इसलिए आप सब लोगों से हम अपील करेंगे कि एक जुट रही है
1511500	1513620	जितने सन्विदा कर्मी है
1513620	1516000	सब को पर्मनेंट किया जाएगा
1516000	1518360	जितने आउट्सोर्सिंग वाले हैं
1518360	1520700	सब को पर्मनेंट तिजाश्वी करेगा
1520700	1524760	जितनी हमारी जिविका दीदिया है
1524760	1528560	सब को जो है तिजाश्वी पर्मनेंट करेगा
1528560	1530340	30,000 रुपया मान देगा
1530340	1542500	पांच लाग का भीमा कराने का काम करेगा चिंता करने की दुरत नहीं बेरोज़कारी को दूर करना कि नहीं करना तेजश्वी का साथ मिल करके बिहार बनाइएगा
1542500	1545560	बहुत लोगाएगा हैने औने
1555560	1558380	इनको 20 साल दिया तेजश्वी को 20 महिना दिजे
1558380	1562600	जो 20 साल में नहीं हुआ तेजश्वी 20 महिना में कर के दिखाने काम करेगा
1562600	1567620	तेजश्वी के उम्र कच्ची एलेकि जुबान पक्की है
1567620	1576280	जो कहा वो किया जो कह रहे हैं वो करके जाएंगे इन बाजपाईयों को हम लोगों को सबख सिखाने का काम करना
1576280	1585200	आज नितीजी की स्थितिय आप लोग जान रहे हैं बीमार हैं बुड़े हो गए हैं अब उनसे सरकार नहीं चलाया जाना है
1585200	1601200	ये बिहार को परधान मतरी अमीद शाज जो है बड़बाद कर रहे हैं हाईजाक कर लिये हैं आप लोगों को तैक करना कि बिहार का लाल बिहार को चलाएगा ये बाहरी आकर के बिहार को चलाने का काम करेगा
1601200	1631200	एक बार बार आता है कुछ होता है सुकार आता है कुछ होता है अफजा होती है एक बार भी लोग आँसु पूछ रहाया ये लोग नहीं आएगा लेकिन टिजश्वी जरूर आएगा आप लोगों का आँसु पूछँ एक मौका बस एक मौका मिलेगा की नहीं मिलेगा तिज
1631200	1643920	सरकार बनाना, बेरोज़कारी को दूर करना, बिहार को बनाने का काम करना, ये मौका नहीं चूबना है, समझे कि तेजश्वी यादवी अलॉली से चुडाउन लगने का काम कर रहा है,
1643920	1670860	तो आप लोगों का प्यार मिलेगा ना, तो भोट कब है, छोड नोमबर, छोड नोमबर को टकाटाक ठाक, टकाटाक तकाटाक लालतेन पर चुपचाप, चुपचाप, इधर परेगा, खटाखट, खटाखट, खटाखट, खटाखट, खटाखट, खटाखट, लालतेन पर,
1670860	1700860	इधर जब खटाखट होगा तो फटाफट फटाफट भाश्पा भागेगा भागाईए बीश साल देख लिए क्या किया बियार देश का सबसे गरीब राज किसान तबा मदूर तबा ना इदाहिलाज की विवस्ता ना पढ़ाई दवाई की विवस्ता इन लोगों को आप बद
1700860	1730860	यहां हमारे साथ सभी पार्टी के महागरबंधन के नेता पदधिकारी कारिकर्ता और अरलौली से जिनको आधरनियन लालू जी ने राहूल गांदी जी ने मुके सानी जी ने आईपी गुपता जी ने हम सब लोगों ने महागरबंधन का प्रत्याशी बनाया है राम रिक्�
1730860	1750900	अभिवावक है तेजेश्वी यही से पैर छू करके आप सब लोगों को पड़ाम करता है माताएं बेहने को यही से नमशकार करता है और नौजवान को यही से गले लगाता है देगे चुनाओ का भिगुल जो है फुका गया है
1750900	1777900	राम रिक्षदा जी को दुबारा पार्टी ने दिया है इंपर भडोसा जिताया है आज तेश्वी आप लोगों के बीच आया है
1777900	1780960	आप लोगों से अपील कर दे
1780960	1785360	कि एक एक वोट जो है लाल टेन पर बटन दबा करके
1785360	1789900	राम रिख सराजी को जिताने का काम किजिए
1789900	1793860	बहुत लोगों को नराज़गी हो सकती है
1793860	1796060	खुशी हो सकती है
1796060	1801620	लेकिन जब तेजश्वी को भाजबा के नेता विधान सबा में
1801620	1803920	मा बहन की गालिया दे रहते हैं
1803920	1807220	तो ये राम रिख सदा सबसे आगे खड़ाओ करके
1807220	1809120	उनलोगों को मूँ तोर जवाब दे रहा था
1809120	1813660	इनसे कोई भी भूल चुक हुई हो
1813660	1818660	इनके बदले तेजश्वी हाँ चोड़ करके
1818660	1820740	माफी मागने का काम करता है
1820740	1827040	और हम देखे केवल सरकार बनाने के लिए
1827040	1831360	केवल मुख्य मंत्री उपमुख्य बनने के लिए
1831360	1833360	विधायक बनने के लिए यहा नहीं आए
1833360	1837440	तेजश्वी को एक कसक है भीहारी होने के नाते
1837440	1841380	तेजश्वी को भीहार
1841380	1849080	हमारी एक किसा क्या कि 빈हार को तिजवी नमबर वन बनाने का काम करेगा
1849080	1853960	केबल सरकार नहीं बनाना है
1853960	1859640	बलकि अल़ावली खगरिया बिहार बनाने का काम करना है
1859640	1863920	कितना यहाँ किसान हमारे तबाह है
1864580	1867380	जुलाई से लेकर के दिसम्बर तक
1867380	1870920	जल जमाओं की सबसे बड़ी समस्या है
1870920	1872320	है कि ले
1872320	1875600	किसानों को कितना मुश्किल होता
1875600	1876980	कठिना ही होती है
1876980	1879320	आस तक कोई आया
1879320	1880840	मुख्यमंत्री परधान मंत्री
1880840	1882520	आप लोगों का सूधल ने
1882520	1885600	ते जश्वी वादा करता है
1885600	1887460	कि हमारी सरकार बनेगी
1887460	1889360	तो किसानों की जो
1889360	1891640	जल जमाओं की समस्या होती है
1891640	1893360	अच्छे से
1893360	1895860	निकासी यानि ड्रेनज सिस्टम की
1895860	1897700	विवस्ता लौली में तेज़स्वी
1897700	1899180	कराने का काम करेगा
1899180	1901380	ताकि किसानों का आई दुगना हो
1901380	1903760	अच्छे से फसल का उत्पादर हो
1903760	1905160	बताएए
1905160	1907920	बीस साल से मुख्यमंतरी नितीश कुमार जी है
1907920	1910480	एक ग्यारा साल से
1910480	1912600	देश के प्रधान मंतरी
1912600	1914380	नरिंदर मोदी जी है
1914380	1916420	लेकिन
1916420	1918820	बीस सालों में भी
1918820	1921340	एक डिगडी का कॉलेज बतादो
1921340	1923340	अलौली में अगर खोला हो तो
1923340	1927120	कहा जाते हैं आप लोग पढ़ाई करने
1927120	1929760	बाहर
1929760	1935580	आपको कैसा लोली चाहिए कि बाहर जाने वला कि
1935580	1938160	यहीं आपको विश्वित्या ले चाहिए
1938160	1940520	यहीं डिगडी को ले चाहिए
1940520	1943260	अस्पटाल जाते होंगे तो बोलता हो
1943260	1947940	रेफर, रेफर, रेफर, खाली रेफर है
1947940	1951260	साब दवाचोरी हो रहा है
1951720	1954860	कहीं डोक्तर डोक्तर राहीं नहीं देखता होगा
1954860	1958460	कहीं दवा नहीं मिलता होगा
1958460	1960860	तो जाए यह पठर नहीं रेफर होई है
1960860	1964760	कहीं कोई पढ़ाई की में बस्ठा नहीं
1964760	1967360	दभाई की में बस्ठा नहीं
1967360	1969080	कोणोकार खाना खोल दिये क्या?
1969100	1970420	मोदी चीनिती इसकुमार जी
1970420	1974680	अज दिल पे हाथ बताओ कितने लोग बेरोजगारे जरा हाथ उटा के बताइए
1974680	1978820	आज इस मंच से तेजश्वी कह रहा है
1978820	1982300	तेजश्वी अगर मुक्यमंतरी बनेगा
1982300	1983940	बनाईएगा
1983940	1987380	अपने भाई बेटे को सम्माल दिजेगा
1987380	1990600	अज तेजश्वी जब मुक्यमंतरी बनेगा
1990600	1997060	तो बिहार में जिस परिवार के पास सरकारी नौकरी नहीं है
1997060	2002660	उस परिवार को एक सरकारी नौकरी तेजश्वी दिलाने का काम करेगा
2002660	2008560	हम कहते थे 2020 पे कि 10 लाख नौकरी देंगे
